Join Team,Conference,Team Name
Abilene Christian,Western Athletic Conference (WAC),Abilene Christian
Air Force,Mountain West Conference (MW),Air Force
Akron,Mid-American Conference (MAC),Akron
Alabama,Southeastern Conference (SEC),Alabama
Alabama A&M,Southwestern Conference (SWC),Alabama A&M
Alabama State,Southwestern Conference (SWC),Alabama State
Alcorn State,Southwestern Conference (SWC),Alcorn State
American University,Patriot League,American University
Appalachian State,Sun Belt Conference (SBC),Appalachian State
Arizona,Pac-12 Conference,Arizona
Arizona State,Pac-12 Conference,Arizona State
Arkansas,Southeastern Conference (SEC),Arkansas
Arkansas State,Sun Belt Conference (SBC),Arkansas State
Arkansas-Pine Bluff,Southwestern Conference (SWC),Arkansas-Pine Bluff
Army West Point,Patriot League,Army
Auburn,Southeastern Conference (SEC),Auburn
Austin Peay,Atlantic Sun Conference (ASUN),Austin Peay
Ball State,Mid-American Conference (MAC),Ball State
Baylor,Big 12 Conference,Baylor
Bellarmine,Atlantic Sun Conference (ASUN),Bellarmine
Belmont,Missouri Valley Conference (MVC),Belmont
Bethune-Cookman,Southwestern Conference (SWC),Bethune-Cookman
Binghamton,American East Conference (AmEast),Binghamton
Boise State,Mountain West Conference (MW),Boise State
Boston College,Atlantic Coast Conference (ACC),Boston College
Boston University,Patriot League,Boston University
Bowling Green,Mid-American Conference (MAC),Bowling Green
Bradley,Missouri Valley Conference (MVC),Bradley
Brown,Ivy League,Brown
Bryant,American East Conference (AmEast),Bryant
Bucknell,Patriot League,Bucknell
Buffalo,Mid-American Conference (MAC),Buffalo
Butler,Big East Conference,Butler
Brigham Young,Big 12 Conference,BYU
Cal Poly,Big West Conference (BWC),Cal Poly
Cal State Bakersfield,Big West Conference (BWC),Cal State Bakersfield
Cal State Fullerton,Big West Conference (BWC),Cal State Fullerton
Cal State Northridge,Big West Conference (BWC),Cal State Northridge
California,Pac-12 Conference,California
California Baptist,Western Athletic Conference (WAC),California Baptist
Campbell,Coastal Athletic Association (CAA),Campbell
Canisius,Metro Atlantic Athletic Conference (MAAC),Canisius
Central Arkansas,Atlantic Sun Conference (ASUN),Central Arkansas
Central Connecticut State,Northeast Conference (NEC),Central Connecticut
Central Michigan,Mid-American Conference (MAC),Central Michigan
Charleston,Coastal Athletic Association (CAA),Charleston
Charleston Southern,Big South Conference,Charleston Southern
Charlotte,American Athletic Conference (AAC),Charlotte
Chattanooga,Southern Conference (SoCon),Chattanooga
Chicago State,Division 1 Independents,Chicago State
Cincinnati,Big 12 Conference,Cincinnati
Clemson,Atlantic Coast Conference (ACC),Clemson
Cleveland State,Horizon League,Cleveland State
Coastal Carolina,Sun Belt Conference (SBC),Coastal Carolina
Colgate,Patriot League,Colgate
Colorado,Pac-12 Conference,Colorado
Colorado State,Mountain West Conference (MW),Colorado State
Columbia,Ivy League,Columbia
Coppin State,Mid-Eastern Athletic Conference (MEAC),Coppin State
Cornell,Ivy League,Cornell
Creighton,Big East Conference,Creighton
Dartmouth,Ivy League,Dartmouth
Davidson,Atlantic 10 Conference (A-10),Davidson
Dayton,Atlantic 10 Conference (A-10),Dayton
Delaware,Coastal Athletic Association (CAA),Delaware
Delaware State,Mid-Eastern Athletic Conference (MEAC),Delaware State
Denver,Summit League (The Summit),Denver
DePaul,Big East Conference,DePaul
Detroit-Mercy,Horizon League,Detroit Mercy
Drake,Missouri Valley Conference (MVC),Drake
Drexel,Coastal Athletic Association (CAA),Drexel
Duke,Atlantic Coast Conference (ACC),Duke
Duquesne,Atlantic 10 Conference (A-10),Duquesne
East Carolina,American Athletic Conference (AAC),East Carolina
East Tennessee State,Southern Conference (SoCon),East Tennessee State
Eastern Illinois,"Ohio Valley Conference (OVC, The Valley)",Eastern Illinois
Eastern Kentucky,Atlantic Sun Conference (ASUN),Eastern Kentucky
Eastern Michigan,Mid-American Conference (MAC),Eastern Michigan
Eastern Washington,Big Sky Conference,Eastern Washington
Elon,Coastal Athletic Association (CAA),Elon
Evansville,Missouri Valley Conference (MVC),Evansville
Fairfield,Metro Atlantic Athletic Conference (MAAC),Fairfield
Fairleigh Dickinson,Northeast Conference (NEC),Fairleigh Dickinson
Florida,Southeastern Conference (SEC),Florida
Florida A&M,Southwestern Conference (SWC),Florida A&M
Florida Atlantic,American Athletic Conference (AAC),Florida Atlantic
Florida Gulf Coast,Atlantic Sun Conference (ASUN),Florida Gulf Coast
Florida International,Conference USA (CUSA),Florida International
Florida State,Atlantic Coast Conference (ACC),Florida State
Fordham,Atlantic 10 Conference (A-10),Fordham
Fresno State,Mountain West Conference (MW),Fresno State
Furman,Southern Conference (SoCon),Furman
Gardner-Webb,Big South Conference,Gardner-Webb
George Mason,Atlantic 10 Conference (A-10),George Mason
George Washington,Atlantic 10 Conference (A-10),George Washington
Georgetown,Big East Conference,Georgetown
Georgia,Southeastern Conference (SEC),Georgia
Georgia Southern,Sun Belt Conference (SBC),Georgia Southern
Georgia State,Sun Belt Conference (SBC),Georgia State
Georgia Tech,Atlantic Coast Conference (ACC),Georgia Tech
Gonzaga,West Coast Conference (WCC),Gonzaga
Grambling State,Southwestern Conference (SWC),Grambling
Grand Canyon,Western Athletic Conference (WAC),Grand Canyon
Green Bay,Horizon League,Green Bay
Hampton,Coastal Athletic Association (CAA),Hampton
Harvard,Ivy League,Harvard
Hawaii,Big West Conference (BWC),Hawaii
High Point,Big South Conference,High Point
Hofstra,Coastal Athletic Association (CAA),Hofstra
Holy Cross,Patriot League,Holy Cross
Houston,Big 12 Conference,Houston
Houston Christian,Southland Conference (SLC),Houston Christian
Howard,Mid-Eastern Athletic Conference (MEAC),Howard
Idaho,Big Sky Conference,Idaho
Idaho State,Big Sky Conference,Idaho State
Illinois,Big Ten Conference (Big 10),Illinois
Illinois State,Missouri Valley Conference (MVC),Illinois State
Incarnate Word,Southland Conference (SLC),Incarnate Word
Indiana,Big Ten Conference (Big 10),Indiana
Indiana State,Missouri Valley Conference (MVC),Indiana State
Iona,Metro Atlantic Athletic Conference (MAAC),Iona
Iowa,Big Ten Conference (Big 10),Iowa
Iowa State,Big 12 Conference,Iowa State
IUPUI,Horizon League,IUPUI
Jackson State,Southwestern Conference (SWC),Jackson State
Jacksonville,Atlantic Sun Conference (ASUN),Jacksonville
Jacksonville State,Conference USA (CUSA),Jacksonville State
James Madison,Sun Belt Conference (SBC),James Madison
Kansas,Big 12 Conference,Kansas
UMKC,Summit League (The Summit),Kansas City
Kansas State,Big 12 Conference,Kansas State
Kennesaw State,Atlantic Sun Conference (ASUN),Kennesaw State
Kent State,Mid-American Conference (MAC),Kent State
Kentucky,Southeastern Conference (SEC),Kentucky
La Salle,Atlantic 10 Conference (A-10),La Salle
Lafayette,Patriot League,Lafayette
Lamar,Southland Conference (SLC),Lamar
Le Moyne,Northeast Conference (NEC),Le Moyne
Lehigh,Patriot League,Lehigh
Liberty,Conference USA (CUSA),Liberty
Lindenwood,"Ohio Valley Conference (OVC, The Valley)",Lindenwood
Lipscomb,Atlantic Sun Conference (ASUN),Lipscomb
Little Rock,"Ohio Valley Conference (OVC, The Valley)",Little Rock
Long Beach State,Big West Conference (BWC),Long Beach State
Long Island,Northeast Conference (NEC),Long Island University
Longwood,Big South Conference,Longwood
Louisiana,Sun Belt Conference (SBC),Louisiana
Louisiana Tech,Conference USA (CUSA),Louisiana Tech
Louisville,Atlantic Coast Conference (ACC),Louisville
Loyola (IL),Atlantic 10 Conference (A-10),Loyola Chicago
Loyola (MD),Patriot League,Loyola Maryland
Loyola Marymount,West Coast Conference (WCC),Loyola Marymount
LSU,Southeastern Conference (SEC),LSU
Maine,American East Conference (AmEast),Maine
Manhattan,Metro Atlantic Athletic Conference (MAAC),Manhattan
Marist,Metro Atlantic Athletic Conference (MAAC),Marist
Marquette,Big East Conference,Marquette
Marshall,Sun Belt Conference (SBC),Marshall
Maryland,Big Ten Conference (Big 10),Maryland
Maryland-Eastern Shore,Mid-Eastern Athletic Conference (MEAC),Maryland-Eastern
Massachusetts,Atlantic 10 Conference (A-10),Massachusetts
McNeese State,Southland Conference (SLC),McNeese
Memphis,American Athletic Conference (AAC),Memphis
Mercer,Southern Conference (SoCon),Mercer
Merrimack College,Northeast Conference (NEC),Merrimack
