Historical Conference,Conference
Western Athletic Conference (WAC),WAC
Mountain West Conference (MW),MWC
Mid-American Conference (MAC),MAC
Southeastern Conference (SEC),SEC
Southwestern Conference (SWC),SWAC
Patriot League,Pat
Sun Belt Conference (SBC),SB
Pac-12 Conference,P12
Atlantic Sun Conference (ASUN),ASun
Big 12 Conference,B12
Missouri Valley Conference (MVC),MVC
American East Conference (AmEast),AE
Atlantic Coast Conference (ACC),ACC
Ivy League,Ivy
Big East Conference,BE
Big West Conference (BWC),BW
Coastal Athletic Association (CAA),CAA
Metro Atlantic Athletic Conference (MAAC),MAAC
Northeast Conference (NEC),NEC
Big South Conference,BSth
American Athletic Conference (AAC),Amer
Southern Conference (SoCon),SC
Division 1 Independents,ind
Horizon League,Horz
Mid-Eastern Athletic Conference (MEAC),MEAC
Atlantic 10 Conference (A-10),A10
Summit League (The Summit),Sum
"Ohio Valley Conference (OVC, The Valley)",OVC
Big Sky Conference,BSky
Conference USA (CUSA),CUSA
West Coast Conference (WCC),WCC
Southland Conference (SLC),Slnd
Big Ten Conference (Big 10),B10
